wall_time,mcu_ts_ms,lat,lon,pos_east_m,pos_north_m,vel_e_ms,vel_n_ms,vel_u_ms,speed_ms,speed_kmh,roll_deg,pitch_deg,yaw_deg,ax_world,ay_world,az_world,ab_fwd_ms2,ab_lat_ms2,ab_up_ms2,condition
2026-04-23T11:44:20.045,515333,-6.35878233,107.29261533,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.00,0.119,9.759,0.000,-0.0010,-0.0013,-8.8012,1.4909,-0.0193,-8.6740,STATIONARY
2026-04-23T11:44:20.055,515343,-6.35878233,107.29261533,-0.000,-0.000,-0.0000,-0.0000,-0.0880,0.0880,0.32,0.115,9.763,-0.006,-0.0031,-0.0022,-8.8023,1.4895,-0.0196,-8.6754,STATIONARY
2026-04-23T11:44:20.065,515353,-6.35878233,107.29261533,-0.000,-0.000,-0.0001,-0.0001,-0.1760,0.1760,0.63,0.112,9.768,-0.012,-0.0059,-0.0032,-8.7974,1.4868,-0.0202,-8.6708,STATIONARY
2026-04-23T11:44:20.075,515363,-6.35878233,107.29261533,-0.000,-0.000,-0.0000,0.0000,-0.2640,0.2640,0.95,0.113,9.775,-0.017,0.0060,0.0093,-8.7981,1.4996,-0.0079,-8.6694,STATIONARY
2026-04-23T11:44:20.084,515372,-6.35878233,107.29261533,-0.000,-0.000,-0.0000,0.0000,-0.3431,0.3431,1.24,0.111,9.783,-0.023,-0.0007,0.0000,-8.7947,1.4936,-0.0168,-8.6670,STATIONARY
2026-04-23T11:44:20.095,515383,-6.35878233,107.29261533,-0.000,0.000,-0.0000,0.0000,-0.4399,0.4399,1.58,0.112,9.793,-0.029,0.0034,-0.0007,-8.7994,1.5001,-0.0177,-8.6706,STATIONARY
2026-04-23T11:44:20.105,515393,-6.35878233,107.29261533,-0.000,0.000,0.0000,0.0001,-0.5280,0.5280,1.90,0.112,9.800,-0.035,0.0022,0.0047,-8.8043,1.5007,-0.0123,-8.6755,NORMAL
2026-04-23T11:44:20.115,515402,-6.35878233,107.29261533,-0.000,0.000,0.0000,0.0001,-0.6073,0.6073,2.19,0.109,9.803,-0.041,-0.0000,-0.0028,-8.8161,1.5011,-0.0193,-8.6874,NORMAL
2026-04-23T11:44:20.125,515413,-6.35878233,107.29261533,-0.000,0.000,0.0001,0.0001,-0.7041,0.7041,2.53,0.102,9.804,-0.047,0.0034,0.0024,-8.7991,1.5017,-0.0130,-8.6700,NORMAL
2026-04-23T11:44:20.135,515423,-6.35878233,107.29261533,-0.000,0.000,0.0000,0.0000,-0.7921,0.7921,2.85,0.095,9.804,-0.052,-0.0012,-0.0046,-8.8030,1.4977,-0.0190,-8.6747,NORMAL
2026-04-23T11:44:20.145,515433,-6.35878233,107.29261533,-0.000,0.000,0.0001,0.0000,-0.8803,0.8803,3.17,0.090,9.803,-0.058,0.0024,0.0014,-8.8121,1.5026,-0.0122,-8.6830,NORMAL
2026-04-23T11:44:20.155,515443,-6.35878233,107.29261533,0.000,0.000,0.0001,0.0001,-0.9682,0.9682,3.49,0.082,9.804,-0.065,0.0050,0.0042,-8.7929,1.5021,-0.0083,-8.6637,NORMAL
2026-04-23T11:44:20.165,515452,-6.35878233,107.29261533,0.000,0.000,0.0001,0.0001,-1.0475,1.0475,3.77,0.079,9.805,-0.070,-0.0001,-0.0033,-8.8082,1.4998,-0.0152,-8.6795,NORMAL
2026-04-23T11:44:20.175,515463,-6.35878233,107.29261533,0.000,0.000,0.0002,0.0001,-1.1442,1.1442,4.12,0.073,9.807,-0.077,0.0076,0.0051,-8.7968,1.5058,-0.0059,-8.6670,NORMAL
2026-04-23T11:44:20.185,515473,-6.35878233,107.29261533,0.000,0.000,0.0002,0.0001,-1.2322,1.2322,4.44,0.069,9.810,-0.083,0.0055,0.0037,-8.7947,1.5039,-0.0068,-8.6652,NORMAL
2026-04-23T11:44:20.195,515483,-6.35878233,107.29261533,0.000,0.000,0.0003,0.0001,-1.3203,1.3203,4.75,0.065,9.813,-0.089,0.0053,-0.0009,-8.8120,1.5071,-0.0107,-8.6822,NORMAL
2026-04-23T11:44:20.204,515493,-6.35878233,107.29261533,0.000,0.000,0.0003,0.0001,-1.4083,1.4083,5.07,0.059,9.815,-0.096,0.0043,-0.0035,-8.8022,1.5048,-0.0123,-8.6726,NORMAL
2026-04-23T11:44:20.215,515503,-6.35878233,107.29261533,0.000,0.000,0.0004,0.0001,-1.4964,1.4964,5.39,0.055,9.816,-0.103,0.0047,0.0008,-8.8112,1.5068,-0.0075,-8.6814,NORMAL
2026-04-23T11:44:20.225,515513,-6.35878233,107.29261533,-0.000,-0.000,0.0001,0.0000,-0.3871,0.3871,1.39,0.051,9.817,-0.110,0.0065,0.0023,-8.7904,1.5052,-0.0054,-8.6606,STATIONARY
2026-04-23T11:44:20.235,515523,-6.35878233,107.29261533,-0.000,-0.000,0.0001,-0.0000,-0.4753,0.4753,1.71,0.049,9.824,-0.116,-0.0009,-0.0064,-8.8154,1.5031,-0.0138,-8.6862,STATIONARY
2026-04-23T11:44:20.404,515532,-6.35878233,107.29261533,-0.000,-0.000,0.0002,0.0000,-0.5544,0.5544,2.00,0.047,9.832,-0.122,0.0031,0.0048,-8.7930,1.5046,-0.0022,-8.6633,NORMAL
2026-04-23T11:44:20.404,515543,-6.35878233,107.29261533,-0.000,-0.000,0.0002,0.0001,-0.6511,0.6511,2.34,0.049,9.847,-0.129,0.0049,0.0072,-8.7917,1.5084,-0.0003,-8.6614,NORMAL
2026-04-23T11:44:20.405,515553,-6.35878233,107.29261533,-0.000,-0.000,0.0002,0.0001,-0.7392,0.7392,2.66,0.052,9.864,-0.135,-0.0023,-0.0028,-8.8043,1.5060,-0.0107,-8.6746,NORMAL
2026-04-23T11:44:20.405,515563,-6.35878233,107.29261533,-0.000,-0.000,0.0002,0.0001,-0.8271,0.8271,2.98,0.057,9.880,-0.142,0.0041,0.0027,-8.7962,1.5133,-0.0059,-8.6651,NORMAL
2026-04-23T11:44:20.405,515572,-6.35878233,107.29261533,-0.000,-0.000,0.0002,0.0001,-0.9064,0.9064,3.26,0.059,9.892,-0.149,-0.0004,0.0034,-8.8036,1.5120,-0.0055,-8.6728,NORMAL
2026-04-23T11:44:20.406,515583,-6.35878233,107.29261533,-0.000,0.000,0.0002,0.0002,-1.0032,1.0032,3.61,0.061,9.906,-0.156,0.0028,0.0031,-8.8024,1.5171,-0.0061,-8.6706,NORMAL
2026-04-23T11:44:20.406,515593,-6.35878233,107.29261533,-0.000,0.000,0.0002,0.0002,-1.0913,1.0913,3.93,0.061,9.914,-0.163,0.0003,0.0002,-8.8133,1.5176,-0.0090,-8.6816,NORMAL
2026-04-23T11:44:20.406,515603,-6.35878233,107.29261533,-0.000,0.000,0.0002,0.0002,-1.1793,1.1793,4.25,0.055,9.917,-0.170,0.0006,0.0054,-8.7960,1.5155,-0.0029,-8.6645,NORMAL
2026-04-23T11:44:20.407,515612,-6.35878233,107.29261533,-0.000,0.000,0.0003,0.0002,-1.2585,1.2585,4.53,0.051,9.919,-0.176,0.0024,-0.0006,-8.8003,1.5182,-0.0083,-8.6683,NORMAL
2026-04-23T11:44:20.407,515623,-6.35878233,107.29261533,-0.000,0.000,0.0002,0.0003,-1.3555,1.3555,4.88,0.044,9.917,-0.182,-0.0025,0.0039,-8.8170,1.5159,-0.0029,-8.6857,NORMAL
2026-04-23T11:44:20.407,515633,-6.35878233,107.29261533,-0.000,0.000,0.0003,0.0003,-1.4434,1.4434,5.20,0.039,9.918,-0.187,0.0055,0.0059,-8.7897,1.5193,0.0001,-8.6574,NORMAL
2026-04-23T11:44:20.407,515643,-6.35878233,107.29261533,-0.000,0.000,0.0003,0.0003,-1.5313,1.5313,5.51,0.033,9.921,-0.194,0.0031,0.0014,-8.7952,1.5183,-0.0036,-8.6631,NORMAL
2026-04-23T11:44:20.408,515652,-6.35878233,107.29261533,-0.000,0.000,0.0003,0.0003,-1.6106,1.6106,5.80,0.029,9.921,-0.199,0.0006,0.0005,-8.8076,1.5181,-0.0038,-8.6758,NORMAL
2026-04-23T11:44:20.408,515663,-6.35878233,107.29261533,-0.000,0.000,0.0004,0.0004,-1.7074,1.7074,6.15,0.022,9.919,-0.204,0.0100,0.0050,-8.8021,1.5260,0.0017,-8.6688,NORMAL
2026-04-23T11:44:20.408,515673,-6.35878233,107.29261533,0.000,0.000,0.0005,0.0004,-1.7954,1.7954,6.46,0.011,9.916,-0.209,0.0025,0.0008,-8.7949,1.5169,-0.0008,-8.6630,NORMAL
2026-04-23T11:44:20.408,515683,-6.35878233,107.29261533,0.000,0.000,0.0005,0.0003,-1.8835,1.8835,6.78,0.003,9.909,-0.215,0.0038,-0.0049,-8.8122,1.5202,-0.0054,-8.6801,NORMAL
2026-04-23T11:44:20.408,515693,-6.35878233,107.29261533,0.000,0.000,0.0006,0.0004,-1.9716,1.9716,7.10,-0.007,9.900,-0.219,0.0058,0.0057,-8.8086,1.5201,0.0069,-8.6765,NORMAL
2026-04-23T11:44:20.414,515702,-6.35878233,107.29261533,0.000,0.000,0.0006,0.0004,-2.0507,2.0507,7.38,-0.017,9.895,-0.224,0.0082,0.0027,-8.7942,1.5193,0.0053,-8.6619,NORMAL
2026-04-23T11:44:20.425,515713,-6.35878233,107.29261533,0.000,0.000,0.0006,0.0004,-2.1476,2.1476,7.73,-0.025,9.891,-0.231,0.0001,-0.0052,-8.8062,1.5128,-0.0015,-8.6752,NORMAL
2026-04-23T11:44:20.435,515723,-6.35878233,107.29261533,0.000,0.000,0.0007,0.0004,-2.2357,2.2357,8.05,-0.030,9.889,-0.237,0.0046,0.0000,-8.8114,1.5179,0.0045,-8.6797,NORMAL
2026-04-23T11:44:20.571,515732,-6.35878233,107.29261533,0.000,0.000,0.0008,0.0004,-2.3148,2.3148,8.33,-0.033,9.893,-0.243,0.0131,0.0076,-8.7916,1.5233,0.0126,-8.6586,NORMAL
2026-04-23T11:44:20.572,515743,-6.35878233,107.29261533,0.000,0.000,0.0008,0.0004,-2.4115,2.4115,8.68,-0.037,9.904,-0.251,0.0015,-0.0033,-8.7922,1.5138,0.0023,-8.6609,NORMAL
2026-04-23T11:44:20.572,515752,-6.35878233,107.29261533,0.000,0.000,0.0008,0.0003,-2.4908,2.4908,8.97,-0.036,9.912,-0.256,0.0012,-0.0062,-8.8035,1.5165,-0.0007,-8.6719,NORMAL
2026-04-23T11:44:20.572,515763,-6.35878233,107.29261533,0.000,0.000,0.0010,0.0004,-2.5875,2.5875,9.32,-0.037,9.918,-0.263,0.0116,0.0079,-8.7972,1.5266,0.0135,-8.6637,NORMAL
2026-04-23T11:44:20.573,515773,-6.35878233,107.29261533,0.000,0.000,0.0010,0.0004,-2.6755,2.6755,9.63,-0.039,9.926,-0.270,0.0030,0.0021,-8.7989,1.5196,0.0081,-8.6666,NORMAL
2026-04-23T11:44:20.573,515783,-6.35878233,107.29261533,0.000,0.000,0.0010,0.0004,-2.7635,2.7635,9.95,-0.041,9.931,-0.277,-0.0030,-0.0061,-8.7998,1.5146,0.0001,-8.6685,NORMAL
2026-04-23T11:44:20.573,515792,-6.35878233,107.29261533,0.000,0.000,0.0010,0.0004,-2.8427,2.8427,10.23,-0.043,9.934,-0.282,0.0046,0.0027,-8.7974,1.5222,0.0092,-8.6647,NORMAL
2026-04-23T11:44:20.574,515803,-6.35878233,107.29261533,0.000,0.000,0.0011,0.0004,-2.9394,2.9394,10.58,-0.047,9.939,-0.288,0.0056,0.0040,-8.7923,1.5230,0.0110,-8.6594,NORMAL
2026-04-23T11:44:20.574,515813,-6.35878233,107.29261533,0.000,0.000,0.0010,0.0004,-3.0274,3.0274,10.90,-0.048,9.946,-0.295,-0.0006,-0.0018,-8.7947,1.5185,0.0054,-8.6626,NORMAL
2026-04-23T11:44:20.575,515822,-6.35878233,107.29261533,0.000,0.000,0.0011,0.0004,-3.1066,3.1066,11.18,-0.047,9.954,-0.301,0.0019,-0.0014,-8.8050,1.5239,0.0057,-8.6722,NORMAL
2026-04-23T11:44:20.575,515832,-6.35878233,107.29261533,0.000,0.000,0.0011,0.0005,-3.1944,3.1944,11.50,-0.047,9.963,-0.308,0.0059,0.0074,-8.7849,1.5256,0.0145,-8.6514,NORMAL
2026-04-23T11:44:20.575,515843,-6.35878233,107.29261533,0.000,0.000,0.0012,0.0005,-3.2912,3.2912,11.85,-0.044,9.975,-0.315,0.0037,0.0025,-8.7969,1.5274,0.0092,-8.6632,NORMAL
2026-04-23T11:44:20.576,515852,-6.35878233,107.29261533,0.000,0.000,0.0012,0.0005,-3.3704,3.3704,12.13,-0.046,9.981,-0.322,0.0022,0.0032,-8.8020,1.5277,0.0102,-8.6684,NORMAL
2026-04-23T11:44:20.576,515863,-6.35878233,107.29261533,0.000,0.000,0.0012,0.0006,-3.4672,3.4672,12.48,-0.049,9.986,-0.329,0.0059,0.0030,-8.8009,1.5320,0.0105,-8.6666,NORMAL
2026-04-23T11:44:20.584,515873,-6.35878233,107.29261533,0.000,0.000,0.0013,0.0006,-3.5553,3.5553,12.80,-0.055,9.986,-0.336,0.0036,0.0041,-8.8057,1.5305,0.0125,-8.6717,NORMAL
2026-04-23T11:44:20.594,515883,-6.35878233,107.29261533,0.000,0.000,0.0014,0.0007,-3.6433,3.6433,13.12,-0.063,9.984,-0.343,0.0071,0.0062,-8.7957,1.5319,0.0158,-8.6612,NORMAL
2026-04-23T11:44:20.605,515893,-6.35878233,107.29261533,0.000,0.000,0.0014,0.0007,-3.7314,3.7314,13.43,-0.071,9.982,-0.349,0.0048,0.0014,-8.8139,1.5326,0.0123,-8.6796,NORMAL
2026-04-23T11:44:20.615,515903,-6.35878233,107.29261534,0.000,0.000,0.0015,0.0007,-3.8193,3.8193,13.75,-0.081,9.979,-0.356,0.0065,0.0055,-8.7946,1.5304,0.0178,-8.6604,NORMAL
2026-04-23T11:44:20.625,515913,-6.35878233,107.29261534,0.000,0.000,0.0016,0.0008,-3.9074,3.9074,14.07,-0.088,9.979,-0.363,0.0112,0.0051,-8.8056,1.5369,0.0185,-8.6704,NORMAL
2026-04-23T11:44:20.635,515923,-6.35878233,107.29261534,0.000,0.000,0.0016,0.0008,-3.9955,3.9955,14.38,-0.098,9.981,-0.371,0.0056,0.0021,-8.8096,1.5323,0.0170,-8.6753,NORMAL
2026-04-23T11:44:20.831,515933,-6.35878233,107.29261534,0.000,0.000,0.0017,0.0008,-4.0835,4.0835,14.70,-0.107,9.983,-0.379,0.0116,0.0040,-8.7967,1.5363,0.0202,-8.6615,NORMAL
2026-04-23T11:44:20.831,515943,-6.35878233,107.29261534,0.000,0.000,0.0019,0.0009,-4.1716,4.1716,15.02,-0.118,9.982,-0.388,0.0118,0.0049,-8.8181,1.5401,0.0228,-8.6825,NORMAL
2026-04-23T11:44:20.831,515953,-6.35878233,107.29261534,0.000,0.000,0.0020,0.0010,-4.2597,4.2597,15.33,-0.132,9.983,-0.398,0.0118,0.0076,-8.8045,1.5379,0.0277,-8.6691,NORMAL
2026-04-23T11:44:20.832,515963,-6.35878233,107.29261534,0.000,0.000,0.0020,0.0009,-4.3477,4.3477,15.65,-0.142,9.984,-0.406,0.0062,-0.0054,-8.7978,1.5315,0.0161,-8.6634,NORMAL
2026-04-23T11:44:20.832,515972,-6.35878233,107.29261534,0.000,0.000,0.0021,0.0009,-4.4270,4.4270,15.94,-0.148,9.982,-0.413,0.0073,0.0015,-8.8096,1.5343,0.0239,-8.6750,NORMAL
2026-04-23T11:44:20.832,515982,-6.35878233,107.29261534,0.000,0.000,0.0023,0.0011,-4.5150,4.5150,16.25,-0.151,9.982,-0.420,0.0186,0.0132,-8.8091,1.5453,0.0363,-8.6725,NORMAL
2026-04-23T11:44:20.833,515992,-6.35878233,107.29261534,0.000,0.000,0.0024,0.0011,-4.6030,4.6030,16.57,-0.159,9.989,-0.427,0.0068,0.0005,-8.7978,1.5327,0.0246,-8.6633,NORMAL
