wall_time,mcu_ts_ms,lat,lon,pos_east_m,pos_north_m,speed_ms,speed_kmh,heading_deg
2026-06-11T16:04:10.060,221045,-6.97715683,107.62979400,0.000,0.000,0.0141,0.05,89.96
2026-06-11T16:04:10.070,221055,-6.97715683,107.62979400,0.000,0.000,0.0273,0.10,89.92
2026-06-11T16:04:10.080,221065,-6.97715683,107.62979401,0.001,0.000,0.0411,0.15,89.89
2026-06-11T16:04:10.090,221075,-6.97715683,107.62979401,0.001,0.000,0.0576,0.21,89.86
2026-06-11T16:04:10.100,221085,-6.97715683,107.62979401,0.002,0.000,0.0716,0.26,89.82
2026-06-11T16:04:10.110,221095,-6.97715683,107.62979402,0.002,0.000,0.0835,0.30,89.78
2026-06-11T16:04:10.120,221105,-6.97715683,107.62979403,0.003,0.000,0.0959,0.35,89.74
2026-06-11T16:04:10.130,221115,-6.97715683,107.62979404,0.004,0.000,0.1106,0.40,89.73
2026-06-11T16:04:10.140,221125,-6.97715683,107.62979405,0.005,0.000,0.1236,0.44,89.73
2026-06-11T16:04:10.150,221135,-6.97715683,107.62979406,0.006,0.000,0.1359,0.49,89.76
2026-06-11T16:04:10.160,221145,-6.97715683,107.62979407,0.008,0.000,0.1485,0.53,89.78
2026-06-11T16:04:10.170,221155,-6.97715683,107.62979408,0.009,0.000,0.1600,0.58,89.78
2026-06-11T16:04:10.180,221165,-6.97715683,107.62979409,0.010,0.000,0.1695,0.61,89.74
2026-06-11T16:04:10.190,221175,-6.97715683,107.62979411,0.012,0.000,0.1769,0.64,89.69
2026-06-11T16:04:10.200,221185,-6.97715683,107.62979412,0.014,0.000,0.1862,0.67,89.61
2026-06-11T16:04:10.211,221195,-6.97715683,107.62979414,0.015,0.000,0.1954,0.70,89.51
2026-06-11T16:04:10.221,221206,-6.97715683,107.62979416,0.017,0.000,0.2059,0.74,89.39
2026-06-11T16:04:10.231,221216,-6.97715683,107.62979417,0.019,0.000,0.2167,0.78,89.30
2026-06-11T16:04:10.241,221226,-6.97715683,107.62979419,0.021,0.000,0.2282,0.82,89.23
2026-06-11T16:04:10.251,221236,-6.97715683,107.62979421,0.023,0.000,0.2390,0.86,89.20
2026-06-11T16:04:10.465,221246,-6.97715683,107.62979423,0.025,0.000,0.2490,0.90,89.21
2026-06-11T16:04:10.465,221256,-6.97715683,107.62979425,0.027,0.000,0.2610,0.94,89.25
2026-06-11T16:04:10.466,221266,-6.97715683,107.62979427,0.029,0.000,0.2757,0.99,89.33
2026-06-11T16:04:10.466,221276,-6.97715683,107.62979429,0.032,0.000,0.2919,1.05,89.42
2026-06-11T16:04:10.466,221286,-6.97715683,107.62979431,0.034,0.000,0.3064,1.10,89.54
2026-06-11T16:04:10.466,221296,-6.97715683,107.62979433,0.037,0.000,0.3189,1.15,89.67
2026-06-11T16:04:10.467,221306,-6.97715683,107.62979436,0.040,0.000,0.3341,1.20,89.79
2026-06-11T16:04:10.467,221316,-6.97715683,107.62979438,0.042,0.000,0.3501,1.26,89.89
2026-06-11T16:04:10.467,221326,-6.97715683,107.62979441,0.045,0.000,0.3620,1.30,89.95
2026-06-11T16:04:10.467,221336,-6.97715683,107.62979444,0.048,0.000,0.3732,1.34,89.96
2026-06-11T16:04:10.468,221346,-6.97715683,107.62979446,0.051,0.000,0.3872,1.39,89.93
2026-06-11T16:04:10.468,221356,-6.97715683,107.62979449,0.054,0.000,0.4010,1.44,89.87
2026-06-11T16:04:10.468,221366,-6.97715683,107.62979452,0.058,0.000,0.4132,1.49,89.81
2026-06-11T16:04:10.468,221376,-6.97715683,107.62979455,0.061,0.000,0.4275,1.54,89.77
2026-06-11T16:04:10.468,221386,-6.97715683,107.62979458,0.064,0.000,0.4436,1.60,89.74
2026-06-11T16:04:10.469,221396,-6.97715683,107.62979461,0.068,0.000,0.4564,1.64,89.73
2026-06-11T16:04:10.469,221406,-6.97715681,107.62979882,0.532,0.003,2.4954,8.98,89.73
2026-06-11T16:04:10.470,221416,-6.97715680,107.62979900,0.551,0.003,2.5070,9.03,89.77
2026-06-11T16:04:10.470,221426,-6.97715680,107.62979917,0.571,0.003,2.5197,9.07,89.84
2026-06-11T16:04:10.470,221436,-6.97715680,107.62979934,0.590,0.003,2.5350,9.13,89.94
2026-06-11T16:04:10.611,221446,-6.97715680,107.62979952,0.609,0.003,2.5520,9.19,90.06
2026-06-11T16:04:10.611,221456,-6.97715680,107.62979969,0.628,0.003,2.5661,9.24,90.19
2026-06-11T16:04:10.611,221466,-6.97715680,107.62979986,0.647,0.003,2.5803,9.29,90.32
2026-06-11T16:04:10.611,221476,-6.97715680,107.62980003,0.666,0.003,2.5901,9.32,90.45
2026-06-11T16:04:10.612,221486,-6.97715681,107.62980021,0.685,0.003,2.5978,9.35,90.57
2026-06-11T16:04:10.612,221496,-6.97715681,107.62980038,0.704,0.003,2.6074,9.39,90.66
2026-06-11T16:04:10.612,221506,-6.97715681,107.62980055,0.723,0.003,2.6204,9.43,90.72
2026-06-11T16:04:10.612,221516,-6.97715681,107.62980072,0.741,0.002,2.6324,9.48,90.75
2026-06-11T16:04:10.612,221526,-6.97715681,107.62980089,0.760,0.002,2.6431,9.52,90.74
2026-06-11T16:04:10.613,221536,-6.97715682,107.62980106,0.779,0.002,2.6512,9.54,90.69
2026-06-11T16:04:10.613,221546,-6.97715682,107.62980122,0.797,0.002,2.6584,9.57,90.60
2026-06-11T16:04:10.613,221556,-6.97715682,107.62980139,0.816,0.001,2.6639,9.59,90.47
2026-06-11T16:04:10.613,221566,-6.97715682,107.62980156,0.834,0.001,2.6705,9.61,90.33
2026-06-11T16:04:10.614,221576,-6.97715682,107.62980173,0.853,0.001,2.6799,9.65,90.20
2026-06-11T16:04:10.614,221586,-6.97715682,107.62980189,0.871,0.001,2.6886,9.68,90.07
2026-06-11T16:04:10.614,221596,-6.97715682,107.62980206,0.889,0.001,2.7012,9.72,89.96
2026-06-11T16:04:10.621,221606,-6.97715682,107.62980222,0.907,0.001,2.7155,9.78,89.89
2026-06-11T16:04:10.631,221616,-6.97715682,107.62980238,0.925,0.001,2.7290,9.82,89.85
2026-06-11T16:04:10.641,221626,-6.97715682,107.62980255,0.944,0.001,2.7431,9.88,89.85
2026-06-11T16:04:10.651,221636,-6.97715682,107.62980271,0.962,0.001,2.7582,9.93,89.89
2026-06-11T16:04:10.876,221646,-6.97715682,107.62980288,0.980,0.001,2.7705,9.97,89.96
2026-06-11T16:04:10.877,221656,-6.97715682,107.62980304,0.998,0.001,2.7849,10.03,90.04
2026-06-11T16:04:10.877,221666,-6.97715682,107.62980320,1.015,0.001,2.7992,10.08,90.12
2026-06-11T16:04:10.877,221676,-6.97715682,107.62980336,1.033,0.001,2.8096,10.11,90.19
2026-06-11T16:04:10.878,221686,-6.97715682,107.62980352,1.051,0.001,2.8201,10.15,90.24
2026-06-11T16:04:10.878,221696,-6.97715682,107.62980368,1.069,0.001,2.8328,10.20,90.26
2026-06-11T16:04:10.878,221706,-6.97715682,107.62980384,1.086,0.001,2.8461,10.25,90.25
2026-06-11T16:04:10.879,221716,-6.97715682,107.62980400,1.104,0.001,2.8571,10.29,90.23
2026-06-11T16:04:10.879,221726,-6.97715682,107.62980416,1.121,0.001,2.8693,10.33,90.18
2026-06-11T16:04:10.879,221736,-6.97715683,107.62980432,1.139,0.001,2.8820,10.38,90.13
2026-06-11T16:04:10.880,221746,-6.97715683,107.62980447,1.156,0.001,2.8939,10.42,90.08
2026-06-11T16:04:10.880,221756,-6.97715683,107.62980463,1.173,0.001,2.9043,10.46,90.04
2026-06-11T16:04:10.880,221766,-6.97715683,107.62980479,1.191,0.001,2.9162,10.50,90.00
2026-06-11T16:04:10.880,221776,-6.97715683,107.62980494,1.208,0.001,2.9285,10.54,89.98
2026-06-11T16:04:10.881,221786,-6.97715683,107.62980510,1.225,0.001,2.9406,10.59,89.96
2026-06-11T16:04:10.881,221796,-6.97715683,107.62980525,1.242,0.001,2.9525,10.63,89.95
2026-06-11T16:04:10.881,221806,-6.97715683,107.62980540,1.259,0.001,2.9644,10.67,89.94
2026-06-11T16:04:10.882,221816,-6.97715683,107.62980556,1.275,0.001,2.9753,10.71,89.93
2026-06-11T16:04:10.882,221826,-6.97715683,107.62980571,1.292,0.001,2.9829,10.74,89.90
2026-06-11T16:04:10.882,221836,-6.97715683,107.62980586,1.309,0.001,2.9909,10.77,89.85
2026-06-11T16:04:11.032,221846,-6.97715682,107.62980601,1.325,0.001,2.9976,10.79,89.78
2026-06-11T16:04:11.032,221856,-6.97715682,107.62980616,1.342,0.001,3.0054,10.82,89.71
