Comment,Designator,Footprint,LCSC,Quantity
Conn_01x07,J7,PinHeader_1x07_P2.54mm_Vertical,,1
10u,C4,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,1
100n,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10k,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
330,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
100n,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
LED,D4,LED_0805_2012Metric,,1
33r,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
Conn_01x05,J6,PinHeader_1x05_P2.54mm_Vertical,,1
1k,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
33r,R4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
NPN,Q1,TO-92,,1
Conn_01x06,J4,PinHeader_1x06_P2.54mm_Vertical,,1
Conn_01x25,J2,PinHeader_1x25_P2.54mm_Vertical,,1
10k,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
100n,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
33r,R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
33r,R2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
Conn_01x07,J3,PinHeader_1x07_P2.54mm_Vertical,,1
Screw_Terminal_01x02,J11,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,,1
100u,C1,CP_Elec_6.3x5.3,,1
Conn_01x25,J1,PinHeader_1x25_P2.54mm_Vertical,,1
Buzzer,BZ1,Buzzer_12x9.5RM7.6,,1
330,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Conn_01x06,J5,PinHeader_1x06_P2.54mm_Vertical,,1
LED,D3,LED_0805_2012Metric,,1
LED,D2,LED_0805_2012Metric,,1
1N4148,D1,D_DO-35_SOD27_P7.62mm_Horizontal,,1
330,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
