"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_12x9.5RM7.6",""
"C1","1","100u","","","","Capacitor_SMD:CP_Elec_6.3x5.3",""
"C2,C3,C5","3","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C4","1","10u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"D1","1","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"D2,D3,D4","3","LED","","","","LED_SMD:LED_0805_2012Metric",""
"J1,J2","2","Conn_01x25","","","","Connector_PinHeader_2.54mm:PinHeader_1x25_P2.54mm_Vertical",""
"J3,J7","2","Conn_01x07","","","","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical",""
"J4,J5","2","Conn_01x06","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"J6","1","Conn_01x05","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"J11","1","Screw_Terminal_01x02","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"Q1","1","NPN","","","","Package_TO_SOT_THT:TO-92","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs"
"R1,R2,R3,R4","4","33r","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R5,R6","2","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R7","1","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R8,R9,R10","3","330","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
